代碼,股票,ROE(近五年),EPS(進五年),毛利率(進五年),現金股利,成交價,董監持股,現金殖利率,符合數量,正負樣本,,,,,,,,,,,,,,,,,,,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,成交價_Test,董監持股_Test
6141,柏承,13.18,2.14,17.38,0.5,20.4,10.83,2.45,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
6142,友勁,-6.66,-0.7,6.04,0.35,9.01,64.16,3.88,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
6152,百一,-8.4,-0.89,13.15,1.57,10.45,10.93,15.02,3,-1,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1
6153,嘉聯益,2.65,0.67,12.86,0.22,27.15,25.87,0.81,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
6155,鈞寶,5.22,0.85,27.41,0.82,20.3,22.8,4.04,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6164,華興,-0.25,-0.02,27.33,0.56,10.1,11.39,5.54,4,1,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1
6165,浪凡,5.05,0.59,12.54,0.01,25.05,0.08,0.04,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
6166,凌華,6.24,1.32,37.99,1.14,51,31.18,2.24,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6168,宏齊,6.95,0.97,21.75,1.12,16.1,21.94,6.96,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
6176,瑞儀,18.29,10.48,17.12,7.16,98.6,3.95,7.26,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0
6177,達麗,15.5,2.7,29.74,1.98,26.4,5.98,7.5,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
6183,關貿,14.55,2.12,40.72,1.75,69.3,48.92,2.53,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
6184,大豐電,10.3,3,46.63,2.8,48.3,11.67,5.8,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6189,豐藝,14.37,2.96,8.02,2.61,35.8,10.31,7.29,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
6191,精成科,8.48,2.62,15.28,0.79,25.3,0,3.12,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
6192,巨路,14.9,6.61,31.21,3.46,0,0,0,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0
6196,帆宣,14.98,5.01,11.28,3.21,108,51.85,2.97,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
6197,佳必琪,9.4,2.32,22.62,2.52,37.25,33.83,6.77,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
6201,亞弘電,10.67,2.93,20.1,2.66,39.75,15.9,6.69,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6202,盛群,27.23,5.29,49.21,5.11,65.4,7.49,7.81,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
6205,詮欣,7.56,1.9,30.7,1.48,78.3,13.17,1.89,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6206,飛捷,15.15,4.94,32.33,4.4,68.3,19.88,6.44,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6209,今國光,-3.93,-0.85,5.26,0.88,24.9,0,3.53,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
6213,聯茂,22.38,7.06,17.42,4.38,58.5,18.43,7.49,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
6214,精誠,10.48,5.6,24.96,5,67.6,9.36,7.4,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
6215,和椿,8.05,1.2,26.2,0.78,20.15,20.16,3.87,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6216,居易,10.86,1.92,49.86,1.81,25.9,19.7,6.99,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6224,聚鼎,16.79,4.82,46.22,3.85,54,22.63,7.13,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6225,天瀚,-159.53,-0.1,-67.76,0,8,8.66,0,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
6226,光鼎,2.09,0.24,29.81,0.17,10.5,12.31,1.62,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6230,尼得科超眾,14.7,6.78,20.01,3.1,97.4,0,3.18,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
6235,華孚,4.92,0.66,19.46,0.46,31.9,21.71,1.44,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
6239,力成,15.32,8.64,20.69,5.12,76.6,6.57,6.68,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
6243,迅杰,-8.27,-0.47,24.89,0.89,24.45,24.41,3.64,3,-1,,,,,,,,,,,,,,,,,,,0,0,1,0,1,1
6251,定穎,4.42,0.8,11.52,0.69,0,0,0,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
6257,矽格,13.89,3.9,28.85,2.6,43.2,5.18,6.02,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
6269,台郡,14.3,9.09,20.44,5.02,84.3,7.63,5.95,4,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
6271,同欣電,9.63,7.98,26.69,5.79,167.5,9.29,3.46,2,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
6277,宏正,24.11,8.64,59.09,3.2,76,12.84,4.21,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
6278,台表科,14.39,6.5,11.19,2.94,84,8.66,3.5,2,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0
6281,全國電,19.94,5,18.97,4.4,80.9,12.51,5.44,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1
6282,康舒,10.91,1.83,15.41,1.04,28,24.79,3.71,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
6283,淳安,-1.49,-0.04,17.03,0.1,32.4,47.46,0.31,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
6285,啟碁,10.64,4.33,11.87,2.86,82,24.83,3.49,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
6288,聯嘉,5.36,0.7,19.59,0.56,22.8,21.2,2.46,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
6289,華上,-215.93,-0.51,-108.8,0,0,0,0,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
6405,悅城,2.07,0.65,18.65,0.82,19.6,13.61,4.18,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
6409,旭隼,41.13,23.79,27.73,22.25,1395,17.77,1.59,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6412,群電,21.64,4.84,16.73,3.5,66.1,59.47,5.3,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
6414,樺漢,12.11,13.7,22.36,6.36,189,33.81,3.37,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6415,矽力*-KY,19.59,33.01,48.65,9.68,424.5,0,2.28,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
6416,瑞祺電通,15.27,4.72,19.95,3.1,91,27.48,3.41,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
6426,統新,6.55,1.89,44.26,1.9,71.8,14.41,2.65,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6431,光麗-KY,-11.05,-1.07,-16.3,1,20.6,2.72,4.85,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
6438,迅得,17.58,5.54,28.33,3.75,86.6,13.82,4.33,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6442,光聖,2.5,0.75,17.44,1.41,46.5,11.77,3.03,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
6443,元晶,-12.88,-1.2,0.46,0,35.3,1.3,0,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
6449,鈺邦,11.37,2.63,26.24,1.55,40.1,21.99,3.87,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
6451,訊芯-KY,7.26,4.14,23.26,2.72,84.6,59.52,3.22,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1
6456,GIS-KY,19.07,13.45,9.44,5.1,79.5,23.63,6.42,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
6464,台數科,11.99,6.57,48.2,4.33,92,6.67,4.71,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
6477,安集,9.77,1.87,20.58,0.77,43.2,16.35,1.78,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6491,晶碩,22.12,9.95,49.44,3.7,372,41.84,0.99,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6504,南六,19.76,8.9,19.92,5.44,70.1,14.3,7.76,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
6505,台塑化,13.98,4.91,9.53,2.54,81.4,75.82,3.12,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
6525,捷敏-KY,20.71,5.92,31.56,4.1,68.3,51.53,6,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6531,愛普*,15.8,4.89,25.81,2.8,153,0,1.83,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
6533,晶心科,3.1,1.26,99.8,1.5,385,18.73,0.39,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1
6541,泰福-KY,-56.06,-7.49,0,0,49.9,31.45,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
6550,北極星藥業-KY,-69.24,-2.46,0,0,119.5,70.17,0,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
6552,易華電,11.43,2.59,18.75,1.56,32.7,52.87,4.77,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
6558,興能高,9.39,1.39,22.4,0.9,18.8,16.19,4.79,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6573,虹揚-KY,-4.76,-0.48,11.54,0.25,13.3,1.99,1.88,1,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0
6579,研揚,9.55,5.09,31.5,3.63,72.3,60.52,5.02,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
6581,鋼聯,20.35,5.41,51.75,3.99,89.7,72.31,4.45,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6582,申豐,28.1,12.43,36.78,7.31,52.9,49.7,13.82,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6585,鼎基,4.11,1.55,20.03,2.1,51.5,37.57,4.08,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6591,動力-KY,11.75,4.66,27.56,2.34,40.65,19.83,5.76,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6592,和潤企業,14.49,5.11,63.98,3.3,100.5,68.36,3.28,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6598,ABC-KY,-47.61,-3.69,50.63,0,27.5,0,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0
6605,帝寶,6.39,5.2,25.74,1.92,69.4,14.78,2.77,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6625,必應,-1.56,-0.28,12.81,0.47,30,13.58,1.57,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
6641,基士德-KY,18.74,6.26,39.17,3.47,55.4,13.09,6.26,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6655,科定,13.76,4.09,53.2,4.8,138,22.25,3.48,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6666,羅麗芬-KY,23.82,6.51,62.94,3.5,71,43.86,4.93,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
6668,中揚光,6.91,1.29,37.53,0.96,37.4,24.63,2.57,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6669,緯穎,48.52,36.97,6.81,20.01,805,39.99,2.49,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
6670,復盛應用,37.83,14.36,23.89,9.32,180,7.82,5.18,4,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
6671,三能-KY,13.09,3.61,37.98,3,38.8,2.68,7.73,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
6672,騰輝電子-KY,26.09,7.2,27.6,3.83,60.5,14.13,6.33,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6674,鋐寶科技,5.76,1.48,14.35,1.4,23.25,47.73,6.02,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
6691,洋基工程,28.63,15.07,15.6,10.46,165,21.78,6.34,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1
6698,旭暉應材,9.46,1.35,35.96,0.68,29.5,32.38,2.31,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
6706,惠特,25.21,8.2,34.72,4.39,82.7,9.79,5.31,4,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
6715,嘉基,20.58,3.49,25.3,1.32,138.5,51.37,0.95,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
6743,安普新,14.26,2.45,21.84,1,33.6,25.11,2.98,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
6754,匯僑設計,13.78,3.61,23.16,2.22,44,61.59,5.05,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
6756,威鋒電子,23.7,5.31,50.18,3.76,182,57.38,2.07,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
8011,台通,-3.12,-0.34,11.91,0.99,14.4,19.46,6.87,3,-1,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1
8016,矽創,31.11,17.24,35.28,11.3,164.5,6.54,6.87,4,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0
8021,尖點,6.26,1.93,29.74,1.34,25.15,9.87,5.33,4,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0
8028,昇陽半導體,9.61,1.7,29.41,1.32,53,5.5,2.49,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
8033,雷虎,-2.75,-0.32,35.56,0,18.2,3.19,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0
8039,台虹,9.69,3.4,21.95,2.5,39.65,11.19,6.31,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
8046,南電,6.79,3.72,9.75,3.06,188.5,66.97,1.62,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1
8070,長華*,17.12,9.68,15.52,2.36,31.1,0,7.59,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0
8072,陞泰,-0.63,-0.28,15.1,0.35,22.7,39.16,1.54,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
8081,致新,19.36,11.13,36.82,8.5,120,10.73,7.08,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1
8101,華冠,-34.43,-1.66,-0.29,0.06,6.6,35.53,0.91,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
8103,瀚荃,8.53,2.75,29.89,1.29,31.95,11.16,4.04,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
8104,錸寶,17.64,4.31,21.27,1.81,33.8,33.52,5.36,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
8105,凌巨,-1.98,-0.33,9.72,0.12,11.25,34.65,1.07,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
8110,華東,3.17,0.69,6.71,0.35,11.45,38.91,3.06,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
8112,至上,21.82,4.49,2.85,3.1,34.15,6.39,9.08,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0
8114,振樺電,16.93,6.1,34.67,4.58,133.5,9.37,3.43,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
8131,福懋科,12.35,3.18,18.72,2.4,36.95,62.71,6.5,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
8150,南茂,14.26,3.74,20.85,1.96,29.7,11.74,6.6,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
8163,達方,11.05,3.61,17.98,2.66,38.95,22.9,6.83,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
8201,無敵,-2.78,-0.42,14.33,0.3,11.2,40.95,2.68,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
8210,勤誠,21.35,6.11,25.76,3.72,74,12.39,5.03,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
8213,志超,11.46,5.43,14.63,2.95,34.15,6.6,8.64,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0
8215,明基材,11.47,1.54,15.84,0.84,28.9,40.25,2.91,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
8222,寶一,-0.81,-0.07,11.05,0.57,23.85,15.84,2.39,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
8249,菱光,5.71,1.54,13.49,1.34,21.15,27.24,6.34,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
8261,富鼎,12.89,2.73,19.18,1.8,104.5,10.8,1.72,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
8271,宇瞻,14.07,3.8,15.6,2.51,38.85,19.03,6.46,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
8341,日友,30.82,8.14,60.14,7.34,153,37.73,4.8,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
8367,建新國際,12.1,3.11,31.5,1.48,33.3,38.02,4.44,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
8374,羅昇,5.48,0.93,17.23,0.56,28.65,71.86,1.95,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
8404,百和興業-KY,11.55,1.9,36.63,0.92,28.75,59.78,3.2,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
8411,福貞-KY,1.9,0.61,10.72,0.28,14.75,4.6,1.9,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
8422,可寧衛,22.12,11.38,67.1,10.2,175,16.35,5.83,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1
8429,金麗-KY,0.77,0.33,9.29,0.28,9.55,24.29,2.93,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
8438,昶昕,5.38,1.08,10.75,0.8,28.85,50.73,2.77,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
8442,威宏-KY,2.74,0.79,15.4,1.6,70.2,30.91,2.28,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
8443,阿瘦,-8.5,-1.63,53.68,0.26,10.9,12.94,2.39,3,-1,,,,,,,,,,,,,,,,,,,0,0,1,0,1,1
8454,富邦媒,27.85,12.25,10.09,9.7,542,55.55,1.79,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
8462,柏文,19.22,4.92,27.65,4.05,117,36.52,3.46,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
8463,潤泰材,3.25,0.5,11.48,0.71,19.95,46.72,3.56,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
8464,億豐,32.4,14.91,50.86,10.2,249,26.27,4.1,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
8466,美吉吉-KY,12.05,4.71,23.44,3.36,40,40.73,8.4,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
8467,波力-KY,6.11,1.75,28.68,1.7,55.6,9.87,3.06,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
8473,山林水,5.82,2.13,22.43,1.88,29.5,66.94,6.37,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
8478,東哥遊艇,12.28,3.64,28.73,2.12,277.5,38.73,0.76,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
8480,泰昇-KY,19.6,8.12,32.33,4.94,84.1,64.82,5.87,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1
8481,政伸,25.94,5.75,48.89,4.5,56.7,36.38,7.94,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
8482,商億-KY,31.24,8.4,38.56,7.36,69,0,10.67,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
8488,吉源-KY,0.8,0.3,9.4,0.56,16.45,8.31,3.4,2,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0
8499,鼎炫-KY,24.11,9.93,49.13,6.21,106,48.51,5.86,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1
8926,台汽電,7.86,1.6,12.35,1.63,33.8,34.16,4.82,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
8940,新天地,-5.85,-0.75,46.55,0.79,15.15,21.43,5.21,4,1,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1
8996,高力,7.61,1.58,27.33,1.64,107,4.51,1.53,2,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
9802,鈺齊-KY,13.25,6,19.3,2.7,152.5,3.41,1.77,2,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0
9902,台火,3.04,0.39,5.14,0.34,10.2,20.88,3.33,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
9904,寶成,8.94,3.71,24.7,1.35,27.75,7.67,4.86,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
9905,大華,7.27,1.75,14.13,1.34,24.4,0,5.49,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0
9906,欣巴巴,3.5,0.41,25.25,0.13,45.4,50.07,0.29,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
9907,統一實,5.31,0.68,10.77,0.58,17.55,48.06,3.3,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
9908,大台北,6.92,1.59,22.48,1.1,30.55,12.66,3.6,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
9910,豐泰,32.01,6.72,23.65,4.7,157,17.69,2.99,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
9911,櫻花,18.73,3.94,35.17,2.94,62.7,9.92,4.69,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0
9912,偉聯,-4.54,-0.44,32.47,2.2,9.81,6.43,22.43,3,-1,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0
9914,美利達,18.33,9.13,13.3,4.94,182,24.23,2.71,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
9917,中保科,20.86,5.13,36.18,4.4,98.8,0,4.45,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
9918,欣天然,9.44,1.58,24.84,1.4,42.05,40.79,3.33,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
9919,康那香,7.8,1.11,19.46,0.81,15.8,25.49,5.13,4,1,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1
9921,巨大,16.45,10.22,21.9,6.14,207,17.71,2.97,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
9924,福興,13.1,3.78,21.27,2.4,40.85,11.04,5.88,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
9925,新保,8.77,2.32,33.65,1.98,38.9,16.01,5.09,5,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
9926,新海,12.46,2.14,24.86,1.72,50.9,0,3.38,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0
9927,泰銘,11.48,2.93,10.18,2.68,34.5,38.48,7.77,5,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
9928,中視,-23.19,-0.98,-5.87,0,30.6,51.33,0,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
9929,秋雨,10.75,1.17,10.27,0.08,8.27,8.54,0.97,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0
9930,中聯資源,15.71,3.19,15.57,1.9,44.95,0,4.23,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0
9931,欣高,10.13,1.91,18.19,1.14,38.6,24.83,2.95,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
9933,中鼎,10.86,2.16,6.68,2.35,45.85,9.05,5.13,4,1,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0
9934,成霖,6.7,1.09,27.21,0.98,11.5,6.52,8.52,4,1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0
9935,慶豐富,13.16,1.36,18.58,0.46,17.2,10.3,2.67,4,1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
9937,全國,15.09,2.44,11.49,2.08,49.1,0,4.24,3,-1,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0
9938,百和,16.41,5.45,37.35,3.02,57.5,7.39,5.25,5,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
9939,宏全,11.22,5.04,20.14,3.15,82.2,8.2,3.83,3,-1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
9940,信義,17.08,2.67,30.47,1.9,29.15,32.56,6.52,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
9941,裕融,17.38,9.73,48.01,5.22,140,44.08,3.73,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
9942,茂順,15.49,5.53,34.21,4.36,98.3,15.6,4.44,4,1,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1
9943,好樂迪,15.48,4.23,53.83,3.76,60.6,38.23,6.2,6,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
9944,新麗,4.24,1.08,22.99,0.6,20.3,26.69,2.96,4,1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1
9945,潤泰新,17.81,7.47,22.38,1.6,49.85,27.81,3.21,5,1,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1
9946,三發地產,9.56,1.85,33.03,0.5,11.9,0,4.2,3,-1,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0
9955,佳龍,-6.44,-1.1,0.55,0.8,17.75,39.16,4.51,2,-1,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1
9958,世紀鋼,8.58,2.61,16.63,1.51,63.6,18.91,2.37,3,-1,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1
